Course,Section,Instructor,Start Time,End Time,Day,Room,
CSE101,1,AT,8:30 AM,10:00 AM,ST,ICS LAB,
CSE101,2,ABST,1:30 PM,3:00 PM,MW,ICS LAB,
CSE101,3,TBA,10:10 AM,11:40 AM,ST,ICS LAB,
CSE101,4,TBA,8:30 AM,10:00 AM,MW,ICS LAB,
CSE101,5,ABST,3:10 PM,4:40 PM,MW,ICS LAB,
CSE101,6,MAHI,8:30 AM,10:00 AM,MW,ICS LAB,
CSE101,7,MAHI,10:10 AM,11:40 AM,MW,ICS LAB,
CSE101,8,TBA,11:50 AM,1:20 PM,TR,ICS LAB,
CSE101,9,TBA,11:50 AM,1:20 PM,MW,ICS LAB,
CSE101,10,TBA,1:30 PM,3:00 PM,ST,ICS LAB,
CSE101,11,TBA,3:10 PM,4:40 PM,ST,ICS LAB,
CSE101,12,TBA,11:50 AM,1:20 PM,SR,ICS LAB,
CSE101,13,TBA,8:30 AM,10:00 AM,SR,ICS LAB,
CSE101,14,TBA,10:10 AM,11:40 AM,TR,ICS LAB,
CSE103,1,DMAY,11:50 AM,1:20 PM,ST,,Parallelly offer CSE105
CSE103,2,TBA,8:30 AM,10:00 AM,MW,,Parallelly offer CSE105
CSE103,3,TJ,11:50 AM,1:20 PM,ST,,Parallelly offer CSE105
CSE103,4,TJ,11:50 AM,1:20 PM,MW,,Parallelly offer CSE105
CSE103,5,DMAY,1:30 PM,3:00 PM,ST,,Parallelly offer CSE105
CSE103,6,TBA,11:50 AM,1:20 PM,ST,,Parallelly offer CSE105
CSE103,7,DAKC,8:30 AM,10:00 AM,SR,,Parallelly offer CSE105
CSE103,8,DMIM,11:50 AM,1:20 PM,MW,,Parallelly offer CSE105
CSE103,9,DAHF,11:50 AM,1:20 PM,TR,,Parallelly offer CSE105
CSE103,10,TBA,8:30 AM,10:00 AM,TR,,Parallelly offer CSE105
CSE103,11,TBA,8:30 AM,10:00 AM,MW,,Parallelly offer CSE105
CSE103,12,TBA,11:50 AM,1:20 PM,SR,,Parallelly offer CSE105
CSE103,13,TBA,3:10 PM,4:40 PM,SR,,Parallelly offer CSE105
CSE103,14,TBA,8:30 AM,10:00 AM,ST,,Parallelly offer CSE105
CSE103LAB,1,TJ,10:10 AM,1:10 PM,R,ICS/Software Engineering/Database/AI,
CSE103LAB,2,TBA,10:10 AM,1:10 PM,R,ICS/Software Engineering/Database/AI,
CSE103LAB,3,TJ,1:30 PM,4:30 PM,S,ICS/Software Engineering/Database/AI,
CSE103LAB,4,TJ,1:30 PM,4:30 PM,T,ICS/Software Engineering/Database/AI,
CSE103LAB,5,DMAY,3:10 PM,6:10 PM,T,ICS/Software Engineering/Database/AI,
CSE103LAB,6,TBA,8:00 AM,10:00 AM,R,ICS/Software Engineering/Database/AI,
CSE103LAB,7,TBA,10:10 AM,12:10 PM,T,ICS/Software Engineering/Database/AI,
CSE103LAB,8,TBA,10:10 AM,1:10 PM,R,ICS/Software Engineering/Database/AI,
CSE103LAB,9,DAHF,8:00 AM,11:00 AM,M,ICS/Software Engineering/Database/AI,
CSE103LAB,10,TBA,8:00 AM,11:00 AM,W,ICS/Software Engineering/Database/AI,
CSE103LAB,11,TBA,1:30 PM,4:30 PM,T,ICS/Software Engineering/Database/AI,
CSE103LAB,12,TBA,8:00 AM,11:00 AM,M,ICS/Software Engineering/Database/AI,
CSE103LAB,13,TBA,4:50 PM,7:50 PM,M,ICS/Software Engineering/Database/AI,
CSE103LAB,14,TBA,1:30 PM,4:30 PM,W,ICS/Software Engineering/Database/AI,
CSE106,1,MHAK,10:10 AM,11:40 AM,ST,,Parallelly offer CSE205
CSE106,2,MHAK,1:30 PM,3:00 PM,ST,,Parallelly offer CSE205
CSE106,3,MHAK,10:10 AM,11:40 AM,MW,,Parallelly offer CSE205
CSE106,4,DMAZH,1:30 PM,3:00 PM,ST,,Parallelly offer CSE205
CSE106,5,DMAZH,3:10 PM,4:40 PM,ST,,Parallelly offer CSE205
CSE106,6,DSU,8:30 AM,10:00 AM,TR,,Parallelly offer CSE205
CSE106,7,DSU,11:50 AM,1:20 PM,MW,,Parallelly offer CSE205
CSE106,8,TBA,1:30 PM,3:00 PM,MW,,Parallelly offer CSE205
CSE106,9,TBA,8:30 AM,10:00 AM,TR,,Parallelly offer CSE205
CSE108,1,AT,10:10 AM,11:40 AM,ST,,
CSE108LAB,1,TBA,1:30 PM,3:30 PM,R,ICS LAB,
CSE110,1,IMRAN,11:50 AM,1:20 PM,SR,,Parallelly offer CSE207
CSE110,2,MDH,8:30 AM,10:00 AM,ST,,Parallelly offer CSE207
CSE110,3,TM,11:50 AM,1:20 PM,ST,,Parallelly offer CSE207
CSE110,4,TM,10:10 AM,11:40 AM,ST,,Parallelly offer CSE207
CSE110,5,IMRAN,10:10 AM,11:40 AM,ST,,Parallelly offer CSE207
CSE110,6,AUD,3:10 PM,4:40 PM,SR,,Parallelly offer CSE207
CSE110,7,SDIS,1:30 PM,3:30 PM,SR,,Parallelly offer CSE207
CSE110,8,SDIS,10:10 AM,11:40 AM,MW,,Parallelly offer CSE207
CSE110,9,TBA,1:30 PM,3:30 PM,SR,,Parallelly offer CSE207
CSE110,10,TBA,10:10 AM,11:40 AM,MW,,Parallelly offer CSE207
CSE110LAB,1,IMRAN,4:50 PM,7:50 PM,T,ICS/Software Engineering/Database/AI,
CSE110LAB,2,MDH,10:10 AM,1:10 PM,M,ICS/Software Engineering/Database/AI,
CSE110LAB,3,TM,10:10 AM,1:10 PM,W,ICS/Software Engineering/Database/AI,
CSE110LAB,4,TM,10:10 AM,1:10 PM,R,ICS/Software Engineering/Database/AI,
CSE110LAB,5,IMRAN,10:10 AM,1:10 PM,W,ICS/Software Engineering/Database/AI,
CSE110LAB,6,MDH,4:50 PM,7:50 PM,M,ICS/Software Engineering/Database/AI,
CSE110LAB,7,SDIS,1:30 PM,4:30 PM,T,ICS/Software Engineering/Database/AI,
CSE110LAB,8,SDIS,8:00 AM,11:00 AM,R,ICS/Software Engineering/Database/AI,
CSE110LAB,9,TBA,1:30 PM,4:30 PM,T,ICS/Software Engineering/Database/AI,
CSE110LAB,10,TBA,4:50 PM,7:50 PM,R,ICS/Software Engineering/Database/AI,
CSE200,1,SDIS,1:30 PM,3:30 PM,T,Software Engineering/Database/AI,
CSE200,2,MTRA,10:10 AM,12:10 PM,M,Software Engineering/Database/AI,
CSE200,3,SDIS,10:10 AM,12:10 PM,S,Software Engineering/Database/AI,
CSE200,4,MTRA,10:10 AM,12:10 PM,T,Software Engineering/Database/AI,
CSE200,5,TBA,4:50 PM,6:50 PM,W,Software Engineering/Database/AI,
CSE200,6,TBA,4:50 PM,6:50 PM,R,Software Engineering/Database/AI,
CSE207,1,MI,8:30 AM,10:00 AM,ST,,
CSE207,2,MI,8:30 AM,10:00 AM,MW,,
CSE207,3,DRK,10:10 AM,11:40 AM,SR,,
CSE207,4,DRK,11:50 AM,1:20 PM,SR,,
CSE207,5,MMLI,10:10 AM,11:40 AM,SR,,
CSE207,6,TBA,10:10 AM,11:40 AM,SR,,
CSE207LAB,1,MI,8:00 AM,10:00 AM,R,ICS/Software Engineering/Database/AI,
CSE207LAB,2,TBA,4:50 PM,6:50 PM,T,ICS/Software Engineering/Database/AI,
CSE207LAB,3,DRK,8:00 AM,10:00 AM,S,ICS/Software Engineering/Database/AI,
CSE207LAB,4,DRK,8:00 AM,10:00 AM,R,ICS/Software Engineering/Database/AI,
CSE207LAB,5,MMLI,4:50 PM,6:50 PM,W,ICS/Software Engineering/Database/AI,
CSE207LAB,6,TBA,1:30 PM,3:30 PM,S,ICS/Software Engineering/Database/AI,
CSE209,1,SHK,10:10 AM,11:40 AM,MW,,Parallelly offer CSE109
CSE209,2,RDA,11:50 AM,1:20 PM,MW,,Parallelly offer CSE109
CSE209,3,MKN,10:10 AM,11:40 AM,MW,,Parallelly offer CSE109
